invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
INV-27367100009,5/19/2020,4558,KUM & GO #226 / SIOUX CITY,1373 PIERCE ST,SIOUX CITY,51105.0,POINT(-96.405013 42.504732),97,WOODBURY,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11774,BLACK VELVET,24,375,3.07,4.61,48,221.28,18,4.75
INV-48236100022,6/10/2022,4140,FAREWAY STORES #900 / EUCLID,100 EUCLID AVE,DES MOINES,50313,POINT(-93.618871 41.627684),77,POLK,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11774,BLACK VELVET,24,375,3.07,4.61,48,221.28,18,4.75
INV-51822900003,10/5/2022,5977,CASEY'S GENERAL STORE #2305 / BELMOND,303 RIVER AVE S,BELMOND,50421,POINT(-93.616852 42.843811),,WRIGHT,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11774,BLACK VELVET,24,375,3.07,4.61,48,221.28,18,4.75
INV-19845200025,6/6/2019,5034,LIQUOR TOBACCO & GROCERIES,18 N MONROE AVE,MASON CITY,50401,POINT(-93.208614 43.152301),17,CERRO GORDO,1012100.0,CANADIAN WHISKIES,115,CONSTELLATION BRANDS INC,11774,BLACK VELVET,24,375,3.07,4.61,48,221.28,18,4.75
INV-37392600001,6/10/2021,6063,CASEY'S GENERAL STORE #2406 / PLEASANT HILL,1125 N HICKORY BLVD,PLEASANT HILL,50327.0,POINT(-93.517037 41.600063),77,POLK,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11774,BLACK VELVET,24,375,3.07,4.61,48,221.28,18,4.75
INV-32159700019,11/23/2020,5326,ALS LIQUOR,215 W. MILWAUKEE AVE,STORM LAKE,50588.0,POINT(-95.202405 42.647492),11,BUENA VISTA,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11774,BLACK VELVET,24,375,3.07,4.61,48,221.28,18,4.75
INV-57516600002,4/13/2023,5098,BEST FOOD MART 3  LLC,1621 UNIVERSITY AVE,DES MOINES,50311.0,POINT(-93.6399320199999 41.6006380090001),,POLK,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11774,BLACK VELVET,24,375,3.25,4.88,48,234.24,18,4.75
INV-48333100011,6/14/2022,5720,CASEY'S GENERAL STORE #1921- ACKLEY,512 SHERMAN AVENUE,ACKLEY,50601.0,POINT(-93.055213 42.556729),42,HARDIN,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11774,BLACK VELVET,24,375,3.07,4.61,48,221.28,18,4.75
INV-54796500001,1/10/2023,5541,CASEY'S GENERAL STORE #2550 / OSCEOLA,1706 JEFFREY'S DR. PO BOX 466,OSCEOLA,50213,POINT(-93.78874 41.02763),,CLARKE,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11774,BLACK VELVET,24,375,3.07,4.61,48,221.28,18,4.75
INV-42577600003,12/3/2021,5367,CASEY'S GENERAL STORE # 2618/ FREDRICKSBURG,215 W MAIN ST.,FREDERICKSBURG,50630.0,POINT(-92.202089 42.965093),19,CHICKASAW,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11774,BLACK VELVET,24,375,3.07,4.61,48,221.28,18,4.75
INV-37273500004,6/7/2021,4492,CASEY'S GENERAL STORE #2773 / CEDAR RAPIDS,3625 EDGEWOOD RD SW,CEDAR RAPIDS,52404.0,POINT(-91.715911 41.942366),57,LINN,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11774,BLACK VELVET,24,375,3.07,4.61,48,221.28,18,4.75
INV-41956200002,11/12/2021,5724,CASEY'S GENERAL STORE #3772,105 SOUTH 18TH STREET,CENTERVILLE,52544.0,,4,APPANOOSE,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11774,BLACK VELVET,24,375,3.07,4.61,48,221.28,18,4.75
INV-59131300002,6/6/2023,6039,CASEY'S GENERAL STORE #2879 / WATERLOO,3260 UNIVERSITY AVE,WATERLOO,50701.0,POINT(-92.388410025 42.5012639920001),,BLACK HAWK,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11774,BLACK VELVET,24,375,3.25,4.88,48,234.24,18,4.75
INV-27736200027,6/5/2020,5789,CASEY'S GENERAL STORE #2512 / HILLS,310 W MAIN ST,HILLS,52235.0,POINT(-91.541098 41.55423),52,JOHNSON,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11774,BLACK VELVET,24,375,3.07,4.61,48,221.28,18,4.75
INV-55351400030,1/27/2023,6089,CIRCLE K #22654124 / PERRY,1115 HWY 141,PERRY,50220,POINT(-94.10569 41.83025),,DALLAS,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11774,BLACK VELVET,24,375,3.07,4.61,48,221.28,18,4.75
INV-31720100047,11/6/2020,5125,CASH SAVER  /  E EUCLID AVE,1320 E  EUCLID AVE,DES MOINES,50316.0,POINT(-93.602851 41.627778),77,POLK,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11774,BLACK VELVET,24,375,3.07,4.61,48,221.28,18,4.75
INV-27965000021,6/12/2020,4720,CHARITON BP,"107, EAST GRACE",CHARITON,50049.0,POINT(-93.293312 41.005258),59,LUCAS,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11774,BLACK VELVET,24,375,3.07,4.61,48,221.28,18,4.75
INV-21214100011,8/13/2019,4910,PRIME MART #3 / WATERLOO,1008 LAPORTE RD,WATERLOO,50702,POINT(-92.322988 42.47658),7,BLACK HAWK,1012100.0,CANADIAN WHISKIES,115,CONSTELLATION BRANDS INC,11774,BLACK VELVET,24,375,3.07,4.61,48,221.28,18,4.75
INV-36084900005,4/23/2021,5394,CASEY'S GENERAL STORE #2183/DECORAH,1807 OLD STAGE RD.,DECORAH,52101.0,POINT(-91.754302 43.289229),96,WINNESHIEK,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11776,BLACK VELVET,12,750,5.23,7.85,24,188.4,18,4.75
INV-43624900019,1/7/2022,3592,WAL-MART 0886 / FORT DODGE,3036 1ST AVE SOUTH,FORT DODGE,50501.0,POINT(-94.153912 42.505334),42,HARDIN,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11776,BLACK VELVET,12,750,5.23,7.85,24,188.4,18,4.75
INV-59987300009,7/5/2023,2593,HY-VEE FOOD STORE / CARROLL,905 US HIGHWAY 30 WEST,CARROLL,51401.0,POINT(-94.876658575 42.070527226),,CARROLL,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11776,BLACK VELVET,12,750,5.5,8.25,24,198,18,4.75
INV-36113300002,4/26/2021,4539,CASEY'S GENERAL STORE #40 / SCRANTON,900 LOCUST ST,SCRANTON,51462.0,POINT(-94.551577 42.02248),37,GREENE,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11776,BLACK VELVET,12,750,5.23,7.85,24,188.4,18,4.75
INV-39914800002,9/9/2021,4312,I-80 LIQUOR / COUNCIL BLUFFS,2411 S 24TH ST #1,COUNCIL BLUFFS,51501.0,POINT(-95.8792 41.238092),78,POTTAWATTAMIE,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11776,BLACK VELVET,12,750,5.23,7.85,24,188.4,18,4.75
INV-48190100005,6/8/2022,2633,HY-VEE #3 / BDI / DES MOINES,3221 SE 14TH ST,DES MOINES,50320,POINT(-93.596756 41.553941),77,POLK,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11776,BLACK VELVET,12,750,5.23,7.85,24,188.4,18,4.75
INV-24122400007,12/24/2019,2579,HY-VEE FOOD STORE / GRINNELL,320 WEST STREET SOUTH,GRINNELL,50112.0,POINT(-92.727343 41.7283),79,POWESHIEK,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11776,BLACK VELVET,12,750,5.23,7.85,24,188.4,18,4.75
INV-17106300005,1/24/2019,5321,CASEY'S GENERAL STORE # 3513/ BELLE PLAINE,606 13TH ST,BELLE PLAINE,52208,POINT(-92.279383 41.897056),6,BENTON,1012100.0,CANADIAN WHISKIES,115.0,CONSTELLATION BRANDS INC,11776,BLACK VELVET,12,750,5.23,7.85,24,188.4,18,4.75
INV-33745600001,1/25/2021,5028,MIDTOWN LIQUOR,"1100, E 5TH ST",STORM LAKE,50588.0,POINT(-95.186938 42.644563),11,BUENA VISTA,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11776,BLACK VELVET,12,750,5.23,7.85,24,188.4,18,4.75
INV-29884700018,9/1/2020,4131,FAREWAY STORES #933 / URBANDALE,8450 MEREDITH DR,URBANDALE,50322.0,POINT(-93.734312 41.643829),77,POLK,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11776,BLACK VELVET,12,750,5.23,7.85,24,188.4,18,4.75
INV-40079800001,9/14/2021,6005,CASEY'S GENERAL STORE #2865 / CEDAR FALLS,5908 NORDIC DR,CEDAR FALLS,50613.0,POINT(-92.44761 42.484587),7,BLACK HAWK,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11776,BLACK VELVET,12,750,5.23,7.85,24,188.4,18,4.75
INV-44431100011,2/4/2022,4929,CASEY'S GENERAL STORE #1680 / ADEL,816 GREENE ST,ADEL,50003.0,POINT(-94.018348 41.614408),25,DALLAS,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11776,BLACK VELVET,12,750,5.23,7.85,24,188.4,18,4.75
INV-41648800051,11/4/2021,5126,PRICE CHOPPER  /  MERLE HAY #1315,4343 MERLE HAY RD,DES MOINES,50310.0,POINT(-93.697647 41.637408),77,POLK,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11776,BLACK VELVET,12,750,5.23,7.85,24,188.4,18,4.75
INV-19726300059,5/31/2019,3868,WAL-MART 3630 / MARION,5491 BUSINESS HWY 151,MARION,52302,,57,LINN,1012100.0,CANADIAN WHISKIES,115,CONSTELLATION BRANDS INC,11776,BLACK VELVET,12,750,5.23,7.85,24,188.4,18,4.75
INV-58702900004,5/23/2023,4786,CASEY'S GENERAL STORE #1706 / WINTERSET,1021 N 1ST ST,WINTERSET,50273.0,POINT(-94.012954037 41.3436310050001),,MADISON,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11776,BLACK VELVET,12,750,5.5,8.25,24,198,18,4.75
INV-21170900002,8/12/2019,4421,KUM & GO # 1 / HAMPTON,609 CENTRAL AVE W,HAMPTON,50441,POINT(-93.21508 42.741741),35,FRANKLIN,1012100.0,CANADIAN WHISKIES,115,CONSTELLATION BRANDS INC,11776,BLACK VELVET,12,750,5.23,7.85,24,188.4,18,4.75
INV-36817900020,5/20/2021,4517,CASEY'S GENERAL STORE #2767 / CEDAR RAPIDS,3434 1ST AVE NE,CEDAR RAPIDS,52402.0,POINT(-91.635028 42.013062),57,LINN,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11776,BLACK VELVET,12,750,5.23,7.85,24,188.4,18,4.75
INV-27002700001,5/4/2020,5061,CASEY'S GENERAL STORE #3382 / CEDAR,"560, 33RD AVE SW",CEDAR RAPIDS,52404.0,POINT(-91.675611 41.943129),57,LINN,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11776,BLACK VELVET,12,750,5.23,7.85,24,188.4,18,4.75
INV-37602600106,6/17/2021,2548,HY-VEE FOOD STORE / ALTOONA,100 8TH STREET SW,ALTOONA,50009.0,POINT(-93.465301 41.644041),77,POLK,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11776,BLACK VELVET,12,750,5.23,7.85,24,188.4,18,4.75
INV-18051500006,3/11/2019,4524,CASEY'S GENERAL STORE #1139 / NORA SPRINGS,14 E CONGRESS,NORA SPRINGS,50458,POINT(-93.005225 43.142731),34,FLOYD,1012100.0,CANADIAN WHISKIES,115,CONSTELLATION BRANDS INC,11776,BLACK VELVET,12,750,5.23,7.85,24,188.4,18,4.75
INV-26949700038,5/1/2020,4209,WAL-MART 5748 / GRIMES,2150 EAST 1ST ST,GRIMES,50111.0,POINT(-93.771698 41.688332),77,POLK,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11776,BLACK VELVET,12,750,5.23,7.85,24,188.4,18,4.75
INV-40511500010,9/29/2021,4879,SAM'S MINI MART / MORNINGSIDE AVE SIOUX CITY,4218 MORNINGSIDE AVE,SIOUX CITY,51106.0,POINT(-96.352851 42.47063),97,WOODBURY,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11776,BLACK VELVET,12,750,5.23,7.85,24,188.4,18,4.75
INV-32510000037,12/8/2020,5303,CASEY'S GENERAL STORE # 3508/ MARSHA,108 IOWA AVE W,MARSHALLTOWN,50158.0,POINT(-92.916279 42.00706),64,MARSHALL,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11776,BLACK VELVET,12,750,5.23,7.85,24,188.4,18,4.75
INV-45494500018,3/11/2022,4823,CASEY'S GENERAL STORE #3223 / CRESTON,903 N SUMNER AVE,CRESTON,50801.0,POINT(-94.372568 41.066812),88,UNION,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11776,BLACK VELVET,12,750,5.23,7.85,24,188.4,18,4.75
INV-45095800033,7/20/2022,3622,WAL-MART 1415 / SPIRIT LAKE,2600 HWY 71,SPIRIT LAKE,51360.0,POINT(-95.126535 43.416452),,DICKINSON,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11776,BLACK VELVET,12,750,5.23,7.85,24,188.4,18,4.75
INV-45127000024,2/28/2022,3890,SMOKIN' JOE'S #7 TOBACCO AND LIQUOR OUTLET,904  1ST AVE NW,CEDAR RAPIDS,52405.0,POINT(-91.683667 41.972773),57,LINN,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11786,BLACK VELVET PET,12,750,5.23,7.85,24,188.4,18,4.75
INV-27985400020,6/15/2020,5354,KIMMES WALL LAKE,129 CENTER STREET,WALL LAKE,51466.0,POINT(-95.090639 42.271309),81,SAC,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11786,BLACK VELVET PET,12,750,5.23,7.85,24,188.4,18,4.75
INV-47667800004,5/23/2022,2509,HY-VEE / DRUGTOWN #1 / CEDAR RAPIDS,1520 6TH ST SW,CEDAR RAPIDS,52404.0,POINT(-91.67706 41.962419),57,LINN,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11786,BLACK VELVET PET,12,750,5.23,7.85,24,188.4,18,4.75
INV-14135100002,8/29/2018,4981,SINCLAIR FOOD MART,206 N MAIN ST,TRAER,50675,POINT(-92.465474 42.196408),86,TAMA,1012100.0,CANADIAN WHISKIES,115.0,CONSTELLATION BRANDS INC,11786,BLACK VELVET TRAVELER,12,750,5.23,7.85,24,188.4,18,4.75
INV-47620300004,5/20/2022,4896,BARRYS MINI MART,"403, CHESTNUT ST",HARPERS FERRY,52146.0,POINT(-91.38553 43.050183),3,ALLAMAKEE,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11786,BLACK VELVET PET,12,750,5.23,7.85,24,188.4,18,4.75
INV-56737700008,3/16/2023,5270,CASEY'S GENERAL STORE # 2783/ URBAND,4901 86TH ST,URBANDALE,50322,POINT(-93.73646 41.64996),,POLK,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11786,BLACK VELVET PET,12,750,5.5,8.25,24,198,18,4.75
INV-35677100038,4/9/2021,2536,HY-VEE / PLEASANT HILL,4815 MAPLE DRIVE,PLEASANT HILL,50317.0,POINT(-93.519187 41.598109),77,POLK,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11786,BLACK VELVET PET,12,750,5.23,7.85,24,188.4,18,4.75
INV-24164900087,12/26/2019,2585,HY-VEE WINE AND SPIRITS / ALGONA,,,,,,,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11786,BLACK VELVET PET,12,750,5.23,7.85,24,188.4,18,4.75
INV-60119300004,7/8/2023,3678,"SMOKE SHOP, THE",1918 SE 14TH ST,DES MOINES,50320.0,POINT(-93.597361005 41.570897005),,POLK,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11786,BLACK VELVET PET,12,750,5.5,8.25,24,198,18,4.75
INV-24154500118,12/26/2019,2502,HY-VEE WINE AND SPIRITS / ANKENY,410 NORTH ANKENY BLVD,ANKENY,50021.0,,77,POLK,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11786,BLACK VELVET PET,12,750,5.23,7.85,24,188.4,18,4.75
INV-25555900002,3/2/2020,4613,SPARKY'S ONE STOP / CARROLL,402 E 6TH ST,CARROLL,51401.0,POINT(-94.862532 42.064428),14,CARROLL,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11786,BLACK VELVET PET,12,750,5.23,7.85,24,188.4,18,4.75
INV-46293800004,4/7/2022,6005,CASEY'S GENERAL STORE #2865 / CEDAR FALLS,5908 NORDIC DR,CEDAR FALLS,50613,POINT(-92.44761 42.484581),7,BLACK HAWK,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11786,BLACK VELVET PET,12,750,5.23,7.85,24,188.4,18,4.75
INV-28687100005,7/14/2020,5727,ONE STOP SHOP #4 - DENISON,306 NORTH 7TH STREET,DENISON,51442.0,POINT(-95.36107 42.020388),24,CRAWFORD,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11786,BLACK VELVET PET,12,750,5.23,7.85,24,188.4,18,4.75
INV-22674800004,10/21/2019,5449,MODS MARKET,200 1ST AVE NE STE 124,CEDAR RAPIDS,52401.0,POINT(-91.668267 41.978996),57,LINN,1012100.0,CANADIAN WHISKIES,115.0,CONSTELLATION BRANDS INC,11786,BLACK VELVET PET,12,750,5.23,7.85,24,188.4,18,4.75
INV-20648800053,7/16/2019,2594,HY-VEE FOOD STORE / SIOUX CITY,4500 SERGEANT ROAD,SIOUX CITY,51106,POINT(-96.346969 42.447396),97,WOODBURY,1012100.0,CANADIAN WHISKIES,115,CONSTELLATION BRANDS INC,11786,BLACK VELVET TRAVELER,12,750,5.23,7.85,24,188.4,18,4.75
INV-37482000016,6/14/2021,5190,GUPPY'S ON THE GO / WALFORD,200 HWY 151 E,WALFORD,52351.0,POINT(-91.828571 41.881821),57,LINN,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11786,BLACK VELVET PET,12,750,5.23,7.85,24,188.4,18,4.75
INV-36688600031,5/17/2021,2593,HY-VEE FOOD STORE / CARROLL,905 US HIGHWAY 30 WEST,CARROLL,51401.0,POINT(-94.853591 42.064155),14,CARROLL,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11786,BLACK VELVET PET,12,750,5.23,7.85,24,188.4,18,4.75
INV-16314100014,12/13/2018,4804,WALGREENS #07833 / DES MOINES,3501 INGERSOLL AVE,DES MOINES,50312,POINT(-93.664571 41.586323),77,POLK,1012100.0,CANADIAN WHISKIES,115.0,CONSTELLATION BRANDS INC,11786,BLACK VELVET TRAVELER,12,750,5.23,7.85,24,188.4,18,4.75
INV-58939300014,6/1/2023,3820,"CHARLIE'S WINE AND SPIRITS,",507 W 19TH ST,SIOUX CITY,51103.0,POINT(-96.420177033 42.510926985),,WOODBURY,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11786,BLACK VELVET PET,12,750,5.5,8.25,24,198,18,4.75
INV-13801400001,8/13/2018,4067,FREEMAN FOODS,268 8TH AVE,WELLMAN,52356,POINT(-91.837922 41.465008),90,WAPELLO,1012100.0,CANADIAN WHISKIES,115.0,CONSTELLATION BRANDS INC,11786,BLACK VELVET TRAVELER,12,750,5.23,7.85,24,188.4,18,4.75
INV-57372700006,4/10/2023,2614,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,1823 E KIMBERLY RD,DAVENPORT,52807.0,POINT(-90.5487950099999 41.554922984),,SCOTT,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11786,BLACK VELVET PET,12,750,5.5,8.25,24,198,18,4.75
INV-59424500007,6/15/2023,4499,CASEY'S GENERAL STORE #1316 / MILFORD,510 OKOBOJI AVE,MILFORD,51351.0,POINT(-95.149656029 43.3201120200001),,DICKINSON,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11786,BLACK VELVET PET,12,750,5.5,8.25,24,198,18,4.75
INV-38905800017,8/3/2021,6102,BREW OIL #53 / SIBLEY,1026 2ND AVE,SIBLEY,51249.0,POINT(-95.752119 43.397431),72,OSCEOLA,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11786,BLACK VELVET PET,12,750,5.23,7.85,24,188.4,18,4.75
INV-48691800018,6/27/2022,2573,HY-VEE FOOD STORE / MUSCATINE,2400 2ND AVE,MUSCATINE,52761.0,POINT(-91.035301 41.450849),70,MUSCATINE,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11786,BLACK VELVET PET,12,750,5.23,7.85,24,188.4,18,4.75
INV-55918500003,2/16/2023,4656,CASEY'S GENERAL STORE #2301 / AMES,17005 HWY 69,AMES,50010,,,STORY,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11786,BLACK VELVET PET,12,750,5.5,8.25,24,188.4,18,4.75
INV-35454500008,3/31/2021,4073,"UPTOWN LIQUOR, LLC",306 HWY 69 SOUTH,FOREST CITY,50436.0,POINT(-93.633306 43.261538),95,WINNEBAGO,1012100.0,CANADIAN WHISKIES,55.0,SAZERAC NORTH AMERICA,12404,CANADIAN LTD WHISKY,24,375,2.05,3.08,48,147.84,18,4.75
INV-38135500045,7/7/2021,6187,MILL CREEK LIQUORS / PAULLINA,132 NORTH MAIN STREET,PAULLINA,51046.0,POINT(-95.687686 42.979946),71,O'BRIEN,1012100.0,CANADIAN WHISKIES,421.0,SAZERAC COMPANY  INC,12406,CANADIAN LTD WHISKY,12,750,4.34,6.51,24,156.24,18,4.75
INV-57873400007,4/25/2023,3981,WAL-MART 1152 / SIOUX CENTER,255 16TH ST SW,SIOUX CENTER,51250.0,POINT(-96.180685021 43.059972992),,SIOUX,1012100.0,CANADIAN WHISKIES,421,SAZERAC COMPANY  INC,12860,RICH & RARE RESERVE,12,750,6.5,9.75,24,234,18,4.75
INV-22229000074,10/1/2019,2665,HY-VEE / WAUKEE,1005 E HICKMAN RD,WAUKEE,50263.0,POINT(-93.854477 41.615059),25,DALLAS,1012100.0,CANADIAN WHISKIES,395.0,PROXIMO,14192,PENDLETON CANADIAN WHISKY,12,750,13.5,20.25,24,486,18,4.75
INV-51204900053,9/14/2022,2670,HY-VEE FOOD STORE / CORALVILLE,2004 8TH  ST,CORALVILLE,52241,POINT(-91.591906 41.682347),,JOHNSON,1012100.0,CANADIAN WHISKIES,380,PHILLIPS BEVERAGE,14474,REVEL STOKE SHELLSHOCKED ROASTED PECAN,12,750,9.02,13.53,24,324.72,18,4.75
INV-55047900003,1/18/2023,2521,HY-VEE FOOD AND DRUG (1888) / GRAND / WDM,1990 GRAND AVENUE,WEST DES MOINES,50265,POINT(-93.7314 41.57151),,POLK,1012100.0,CANADIAN WHISKIES,380,PHILLIPS BEVERAGE,14523,REVEL STOKE SON OF A PEACH,12,750,9.02,13.53,24,324.72,18,4.75
INV-27069300011,5/6/2020,2601,HY-VEE FOOD STORE / FAIRFIELD,1300 WEST BURLINGTON AVE,FAIRFIELD,52556.0,POINT(-91.978702 41.006456),51,JEFFERSON,1012400.0,IRISH WHISKIES,370.0,PERNOD RICARD USA,15626,JAMESON,12,750,16.49,24.74,24,593.76,18,4.75
INV-56641900005,3/13/2023,5359,FAREWAY STORES #168/ PEOSTA,8400 NICC DRIVE,PEOSTA,52068,POINT(-90.84849 42.44482),,DUBUQUE,1012400.0,IRISH WHISKIES,370,PERNOD RICARD USA,15626,JAMESON,12,750,17.49,26.24,24,629.76,18,4.75
INV-15743600025,11/15/2018,3814,COSTCO WHOLESALE #788 / WDM,7205 MILLS CIVIC PKWY,WEST DES MOINES,50266,POINT(-93.806489 41.561342),25,DALLAS,1012400.0,IRISH WHISKIES,370,PERNOD RICARD USA,15626,JAMESON,12,750,15.99,23.99,24,575.76,18,4.75
INV-47227100115,5/9/2022,2512,HY-VEE WINE AND SPIRITS / IOWA CITY,1720 WATERFRONT DR,IOWA CITY,52240.0,POINT(-91.530439 41.642724),52,JOHNSON,1012400.0,IRISH WHISKIES,370,PERNOD RICARD USA,15626,JAMESON,12,750,16.99,25.49,24,611.76,18,4.75
INV-25310000024,2/18/2020,2572,HY-VEE FOOD STORE / CEDAR FALLS,6301 UNIVERSITY,CEDAR FALLS,50613.0,POINT(-92.435236 42.512789),7,BLACK HAWK,1012400.0,IRISH WHISKIES,370,PERNOD RICARD USA,15626,JAMESON,12,750,16.49,24.74,24,593.76,18,4.75
INV-45669500023,3/17/2022,4103,FAREWAY STORES #093 / AMES,3619 STANGE RD,AMES,50010.0,POINT(-93.645022 42.057156),85,STORY,1012400.0,IRISH WHISKIES,370,PERNOD RICARD USA,15626,JAMESON,12,750,16.99,25.49,24,611.76,18,4.75
INV-42505900008,12/1/2021,2614,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,1823 E KIMBERLY RD,DAVENPORT,52807.0,POINT(-90.548919 41.556781),82,SCOTT,1012400.0,IRISH WHISKIES,370,PERNOD RICARD USA,15644,JAMESON,24,375,7.99,11.99,48,511.2,18,4.75
INV-41250400004,10/22/2021,5623,EASYGO,2723 GRAND AVE,DES MOINES,50312.0,POINT(-93.654227 41.584417),77,POLK,1012400.0,IRISH WHISKIES,370.0,PERNOD RICARD USA,15644,JAMESON,24,375,7.1,10.65,48,511.2,18,4.75
INV-55889800003,2/15/2023,2614,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,1823 E KIMBERLY RD,DAVENPORT,52807,POINT(-90.55073 41.55678),,SCOTT,1012400.0,IRISH WHISKIES,370,PERNOD RICARD USA,15648,JAMESON CASKMATES IPA,12,750,16.99,25.49,24,611.76,18,4.75
INV-33823800038,1/27/2021,5144,SAM'S CLUB 6979 / ANKENY,4625 SE DELAWARE AVE,ANKENY,50021.0,POINT(-93.581273 41.691),77,POLK,1012400.0,IRISH WHISKIES,370.0,PERNOD RICARD USA,15667,JAMESON BLACK BARREL,12,750,21.48,32.22,24,773.28,18,4.75
INV-28590400087,7/9/2020,4829,CENTRAL CITY 2,1501 MICHIGAN AVE,DES MOINES,50314.0,POINT(-93.613739 41.60572),77,POLK,1012400.0,IRISH WHISKIES,240,WILLIAM GRANT & SONS INC,15940,TULLAMORE DEW IRISH WHISKY,12,750,15,22.5,24,540,18,4.75
INV-50086800079,8/5/2022,6209,HY-VEE / GRIMES,351 NORTHEAST GATEWAY DRIVE,GRIMES,50111.0,POINT(-93.779961 41.68625),,POLK,1011200.0,STRAIGHT BOURBON WHISKIES,85,BROWN FORMAN CORP.,16396,OLD FORESTER SIGNATURE 100PRF BOURBON,12,750,12.5,18.75,24,450,18,4.75
