invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
INV-17490800002,2/12/2019,2622,HY-VEE FOOD STORE / IOWA CITY,1125 N DODGE ST,IOWA CITY,52240,POINT(-91.518868 41.676095),52,JOHNSON,1031100.0,AMERICAN VODKAS,434.0,LUXCO INC,36305,HAWKEYE VODKA,12,750,3.34,5.01,24,120.24,18,4.75
INV-37458800009,6/14/2021,4731,WALGREENS #05060 / CLIVE,12753 UNIVERSITY AVE,CLIVE,50325.0,POINT(-93.793613 41.600487),77,POLK,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36305,HAWKEYE VODKA PET,12,750,3.34,5.01,24,120.24,18,4.75
INV-29188700005,8/3/2020,5292,JOHN'S QWIK STOP,"814, C AVE",VINTON,52349.0,POINT(-92.027865 42.163119),6,BENTON,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36305,HAWKEYE VODKA PET,12,750,3.34,5.01,24,120.24,18,4.75
INV-53418600010,11/25/2022,5237,WORLD LIQUOR & TOBACCO + VAPE,606 N 15TH ST,FORT DODGE,50501,POINT(-94.17794 42.51218),,IOWA,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36305,HAWKEYE VODKA PET,12,750,3.35,5.03,24,120.72,18,4.75
INV-29837200046,8/28/2020,5467,CASEY'S GENERAL STORE #95 / DEXTER,803 STATE ST,DEXTER,50070.0,POINT(-94.22772 41.518101),25,DALLAS,1031100.0,AMERICAN VODKAS,434.0,LUXCO INC,36305,HAWKEYE VODKA PET,12,750,3.34,5.01,24,120.24,18,4.75
INV-35937400017,4/19/2021,5176,SMOKIN' JOE'S #15 TOBACCO AND LIQUOR OUTLET,455 EDGEWOOD RD NW,CEDAR RAPIDS,52405.0,POINT(-91.715903 41.97805),57,LINN,1031100.0,AMERICAN VODKAS,434.0,LUXCO INC,36305,HAWKEYE VODKA PET,12,750,3.34,5.01,24,120.24,18,4.75
INV-18700800003,4/10/2019,5197,KUM & GO #201 / CORALVILLE,822 1ST  AVE,CORALVILLE,52241,POINT(-91.565766 41.681286),52,JOHNSON,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36305,HAWKEYE VODKA,12,750,3.34,5.01,24,120.24,18,4.75
INV-34124000009,2/8/2021,4663,CASEY'S GENERAL STORE #3077 / PEOSTA,236 PEOSTA ST,PEOSTA,52068.0,POINT(-90.85041 42.443954),31,DUBUQUE,1031100.0,AMERICAN VODKAS,434.0,LUXCO INC,36305,HAWKEYE VODKA PET,12,750,3.34,5.01,24,120.24,18,4.75
INV-38887300006,8/3/2021,5973,CASEY'S GENERAL STORE #1908 / INDIANOLA,507 S. JEFFERSON WAY,INDIANOLA,50125.0,POINT(-93.558286 41.355511),91,WARREN,1031100.0,AMERICAN VODKAS,434.0,LUXCO INC,36305,HAWKEYE VODKA PET,12,750,3.34,5.01,24,120.24,18,4.75
INV-15713500001,11/14/2018,4558,KUM & GO #226 / SIOUX CITY,1373 PIERCE ST,SIOUX CITY,51105,POINT(-96.405013 42.504732),97,WOODBURY,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36305,HAWKEYE VODKA,12,750,3.34,5.01,24,120.24,18,4.75
